title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Exploring Multi-Modal Data with Tool-Augmented LLM Agents for Precise Causal Discovery,CA Shen; Z Chen; D Luo; D Xu,2025,Findings of the …,"for LLMKBCI to enable alternate reasoning and tool usage and name this baseline as LLM-  In (b), we assess the effectiveness of the Knowledge LLM in CC-AGENT. This is achieved",https://aclanthology.org/2025.findings-acl.36/,https://aclanthology.org/2025.findings-acl.36.pdf,17,"/scholar?cites=3927172592732718797&as_sdt=5,33&sciodt=0,33&hl=en"
"Small language models for agentic systems: A survey of architectures, capabilities, and deployment trade offs",R Sharma; M Mehta,2025,arXiv preprint arXiv:2510.03847,"), robust function calling, structured decoding, and programmatic tool use. NVIDIA argues   by abstaining or asking follow-up questions, which dovetails with LLM escalation in agents.",https://arxiv.org/abs/2510.03847,https://arxiv.org/pdf/2510.03847?,71,"/scholar?cites=13352915131123405592&as_sdt=5,33&sciodt=0,33&hl=en"
Agentboard: An analytical evaluation board of multi-turn llm agents,C Ma; J Zhang; Z Zhu; C Yang,2024,Advances in neural …,of analytic evaluation of LLM agents. The detailed evaluations provided  contribute to  the further development of LLM agents.  we allow LLM agents to access online API in tool-operation,https://proceedings.neurips.cc/paper_files/paper/2024/hash/877b40688e330a0e2a3fc24084208dfa-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/877b40688e330a0e2a3fc24084208dfa-Paper-Datasets_and_Benchmarks_Track.pdf,110,"/scholar?cites=2185560437422050791&as_sdt=5,33&sciodt=0,33&hl=en"
Intelligent agents with llm-based process automation,Y Guan; D Wang; Z Chu; S Wang; F Ni; R Song,2024,Proceedings of the 30th …,"This paper proposes a novel LLM-based virtual assistant that  tool, encompasses numerous  services that cater to various digital life and finance scenarios. Our proposed LLMPA agent",https://dl.acm.org/doi/abs/10.1145/3637528.3671646,https://dl.acm.org/doi/pdf/10.1145/3637528.3671646?utm_source=consensus,74,"/scholar?cites=4704649163722208649&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on large language model based autonomous agents,L Wang; C Ma; X Feng; Z Zhang; H Yang,2024,Frontiers of Computer …,"construction of LLM-based autonomous agents, proposing a  applications of LLM-based  autonomous agents in social  commonly used for LLM-based autonomous agents. Based",https://link.springer.com/article/10.1007/s11704-024-40231-1,https://link.springer.com/article/10.1007/s11704-024-40231-1,3083,"/scholar?cites=14371622504724745017&as_sdt=5,33&sciodt=0,33&hl=en"
Identifying the risks of lm agents with an lm-emulated sandbox,Y Ruan; H Dong; A Wang; S Pitis; Y Zhou; J Ba,2023,arXiv preprint arXiv …,"Recent advances in Language Model (LM) agents and tool use, exemplified by applications  like ChatGPT Plugins, enable a rich set of capabilities but also amplify potential risks—such",https://arxiv.org/abs/2309.15817,https://arxiv.org/pdf/2309.15817,280,"/scholar?cites=4586505086341753791&as_sdt=5,33&sciodt=0,33&hl=en"
Memento: Fine-tuning llm agents without fine-tuning llms,H Zhou; Y Chen; S Guo; X Yan; KH Lee; Z Wang,2025,arXiv preprint arXiv …,"challenge towards generalist agents: How can we build LLM agents that learn continuously  from  Then, we discuss approaches that augment agents with external tools and multi-agent",https://arxiv.org/abs/2508.16153,https://arxiv.org/pdf/2508.16153,41,"/scholar?cites=4261672672817894904&as_sdt=5,33&sciodt=0,33&hl=en"
Permission Manifests for Web Agents,S Marro; A Chan; X Ren; L Hammond; J Wright,2025,arXiv preprint arXiv …,The rise of Large Language Model (LLM)-based web agents represents a significant shift  in  we developed: a Python library for agents and a manifest generator tool for site owners.,https://arxiv.org/abs/2601.02371,https://arxiv.org/pdf/2601.02371,2,"/scholar?cites=9134729479973341205&as_sdt=5,33&sciodt=0,33&hl=en"
AgentTOD: A Task-Oriented Dialogue Agent with a Flexible and Adaptive API Calling Paradigm,HD Xu; XL Mao; F Sun; TY Che; C Xu,2025,ACM Transactions on …,"To address the limitations, in this paper, we propose AgentTOD, a novel TOD framework  that uses a large language model (LLM) as the intelligent agent to achieve a flexible dialogue",https://dl.acm.org/doi/abs/10.1145/3745021,https://dl.acm.org/doi/full/10.1145/3745021,2,"/scholar?cites=4374993708760004771&as_sdt=5,33&sciodt=0,33&hl=en"
Agent-om: Leveraging llm agents for ontology matching,Z Qiang; W Wang; K Taylor,2023,arXiv preprint arXiv:2312.00326,"in leveraging LLM agents for OM, we propose a generic framework, namely Agent-OM (Agent  for  We select the tool calling agent (aka function calling agent). At the time of writing, the",https://arxiv.org/abs/2312.00326,https://arxiv.org/pdf/2312.00326,33,"/scholar?cites=11537150885406125790&as_sdt=5,33&sciodt=0,33&hl=en"
Tool-wielding language model-based agent offers conversational exploration of clinical tabular data,A Yang; J Woo; R Zhang; A Mach; P Ramkumar,2026,npj Artificial …,"To bridge this gap, we developed ChatDA, an artificial intelligence agent enabling large  language model-mediated conversational analysis of de-identified clinical tabular datasets.",https://www.nature.com/articles/s44387-025-00070-2,https://www.nature.com/articles/s44387-025-00070-2,1,"/scholar?cites=7635026289951067577&as_sdt=5,33&sciodt=0,33&hl=en"
Agentic reasoning: A streamlined framework for enhancing llm reasoning with agentic tools,J Wu; J Zhu; Y Liu; M Xu; Y Jin,2025,… of the 63rd Annual Meeting of the …,enhances large language model (LLM) reasoning by integrating external tool-using agents.   Our core idea is to enhance LLM reasoning by integrating external LLM-based agents into,https://aclanthology.org/2025.acl-long.1383/,https://aclanthology.org/2025.acl-long.1383.pdf,52,"/scholar?cites=1243566889761202134&as_sdt=5,33&sciodt=0,33&hl=en"
MedAgentBench: a virtual EHR environment to benchmark medical LLM agents,Y Jiang; KC Black; G Geng; D Park; J Zou; AY Ng,2025,Nejm Ai,"in their ability to serve as agents, thereby surpassing their traditional role as chatbots.  These agents can leverage their planning and tool utilization capabilities to address tasks",https://ai.nejm.org/doi/abs/10.1056/AIdbp2500144,https://ai.nejm.org/doi/full/10.1056/AIdbp2500144?query=recirc_crossjournalmorepubs,62,"/scholar?cites=6759083773306743546&as_sdt=5,33&sciodt=0,33&hl=en"
From Specification to Service: Accelerating API-First Development Using Multi-Agent Systems,S Chauhan; Z Rasheed; MA Sami; KK Kemell,2025,arXiv preprint arXiv …,– We propose and implement LLM-based multi-agent system designed for the autonomous  API-first development of RESTful microservices. – We integrate a feedback loop mechanism,https://arxiv.org/abs/2510.19274,https://arxiv.org/pdf/2510.19274,1,"/scholar?cites=5621401903628064876&as_sdt=5,33&sciodt=0,33&hl=en"
Design of REST API client for conversational agent using large language model with open API system,SG Park; A Kim; S Lee; H Lee,2024,2024 IEEE/ACIS 22nd …,The significant development of LLM is attributed to the progress in Natural Language  client  technology of Open API System based conversational agent using LLM. The target agent is a,https://ieeexplore.ieee.org/abstract/document/10685639/,,5,"/scholar?cites=17270406626424370172&as_sdt=5,33&sciodt=0,33&hl=en"
