title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Can large language models trade? testing financial theories with llm agents in market simulations,A Lopez-Lira,2025,arXiv preprint arXiv:2504.10789,LLM agents can resemble actual markets and mirror classic results from the theoretical finance  literature. When these agents  financial markets and how LLM agents can operate as full-,https://arxiv.org/abs/2504.10789,https://arxiv.org/pdf/2504.10789,25,"/scholar?cites=7842209209030039764&as_sdt=5,33&sciodt=0,33&hl=en"
Autowebglm: A large language model-based web navigating agent,H Lai; X Liu; IL Iong; S Yao; Y Chen; P Shen,2024,Proceedings of the 30th …,"It prevents the agent from getting stuck in an ineffective loop  is to build a language  model-based web browsing agent, we  (in Table 1) for the language model to act in the web",https://dl.acm.org/doi/abs/10.1145/3637528.3671620,https://dl.acm.org/doi/pdf/10.1145/3637528.3671620,66,"/scholar?cites=17600566828419716779&as_sdt=5,33&sciodt=0,33&hl=en"
BackdoorAgent: A Unified Framework for Backdoor Attacks on LLM-based Agents,Y Feng; Y Li; Y Wu; Y Tan; Y Guo; Y Ding,2026,arXiv preprint arXiv …,understood from an agent-centric perspective.  agent-centric view of backdoor threats in  LLM agents. BackdoorAgent structures the attack surface into three functional stages of agentic,https://arxiv.org/abs/2601.04566,https://arxiv.org/pdf/2601.04566,1,"/scholar?cites=12830240986586078021&as_sdt=5,33&sciodt=0,33&hl=en"
Developing an llm-empowered agent to enhance student collaborative learning through group discussion,AN Sixu; Y Yu; MA Yunsi,2024,… on Computers in …,an agent that can assist teachers and facilitate group discussions in the CSCL environment.  The researchers posit that an effective CL assistant agent  with an LLM agent capable of,https://library.apsce.net/index.php/ICCE/article/view/4953,https://library.apsce.net/index.php/ICCE/article/download/4953/4882,6,"/scholar?cites=11745629072376092135&as_sdt=5,33&sciodt=0,33&hl=en"
Llms working in harmony: A survey on the technological aspects of building effective llm-based multi agent systems,RM Aratchige; W Ilmini,2025,arXiv preprint arXiv:2504.01963,-agent paradigms. This review critically examines the current research in multi-agent LLM   These technological aspects shape the potential and limitations of LLM multi-agent systems,https://arxiv.org/abs/2504.01963,https://arxiv.org/pdf/2504.01963?,25,"/scholar?cites=8582832746674589423&as_sdt=5,33&sciodt=0,33&hl=en"
Adapting llm agents with universal feedback in communication,K Wang; Y Lu; M Santacroce; Y Gong; C Zhang,2023,arXiv preprint arXiv …,"While these prominent research works focus on aligning LLMs for general instruction-following,  our objective is to adapt LLM agents for specific tasks or environments.",https://arxiv.org/abs/2310.01444,https://arxiv.org/pdf/2310.01444,16,"/scholar?cites=8844384648554567983&as_sdt=5,33&sciodt=0,33&hl=en"
AgentHallu: Benchmarking Automated Hallucination Attribution of LLM-based Agents,X Liu; X Yang; Z Li; P Li; R He,2026,arXiv preprint arXiv:2601.06818,"of the LLM backbones used to generate agent trajectories and hallucination evaluation. For  trajectory generation, we adopt the default LLM settings provided by each agent framework.",https://arxiv.org/abs/2601.06818,https://arxiv.org/pdf/2601.06818,1,"/scholar?cites=11118649414772025038&as_sdt=5,33&sciodt=0,33&hl=en"
"A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures",D Kong; S Lin; Z Xu; Z Wang; M Li; Y Li,2025,arXiv preprint arXiv …,"These agents have completely different cores and characteristics from LLM-driven agents,   Besides, surveys focusing on only LLMs instead of LLM-driven agents are also not listed in",https://arxiv.org/abs/2506.19676,https://arxiv.org/pdf/2506.19676,48,"/scholar?cites=2162921262184037896&as_sdt=5,33&sciodt=0,33&hl=en"
Simulating rumor spreading in social networks using llm agents,T Hu; D Liakopoulos; X Wei; R Marculescu,2025,arXiv preprint arXiv …,"the use of Large Language Model (LLM) agents within a novel  To this end, we design a  variety of LLM-based agent types  different network constructions and agent behaviors in influenc",https://arxiv.org/abs/2502.01450,https://arxiv.org/pdf/2502.01450,17,"/scholar?cites=13408347691797631161&as_sdt=5,33&sciodt=0,33&hl=en"
Auto-arena: Automating llm evaluations with agent peer battles and committee discussions,R Zhao; W Zhang; YK Chia; W Xu,2025,Proceedings of the …,"We propose Auto-Arena, a fully automatic LLM evaluation framework where the  LLM-powered  agents; 2. We innovatively utilize peer battles for LLM evaluation, where two LLM agents",https://aclanthology.org/2025.acl-long.223/,https://aclanthology.org/2025.acl-long.223.pdf,29,"/scholar?cites=15708798657044793468&as_sdt=5,33&sciodt=0,33&hl=en"
Reinforcement World Model Learning for LLM-based Agents,X Yu; B Peng; R Xu; Y Shen; P He; S Nath,2026,arXiv preprint arXiv …,"This paper presents work that aims to advance the agentic capabilities of LLM-based agents  through a scalable, selfsupervised method. While most LLM-based agent methods are not",https://arxiv.org/abs/2602.05842,https://arxiv.org/pdf/2602.05842,0,
Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,J Pan; Y Liu; R Miao; K Ding; Y Zheng,2025,arXiv preprint arXiv …,"Large language model (LLM)-based multiagent systems ( -critical tasks, detecting malicious  agents has become a critical  defenses can identify anomalous agents, they mainly rely on",https://arxiv.org/abs/2512.18733,https://arxiv.org/pdf/2512.18733,4,"/scholar?cites=332801547244445647&as_sdt=5,33&sciodt=0,33&hl=en"
Agentic memory: Learning unified long-term and short-term memory management for large language model agents,Y Yu; L Yao; Y Xie; Q Tan; J Feng; Y Li; L Wu,2026,arXiv preprint arXiv …,"In this paper, we propose Agentic Memory (AgeMem), a unified framework that  the agent’s  policy. AgeMem exposes memory operations as tool-based actions, enabling the LLM agent",https://arxiv.org/abs/2601.01885,https://arxiv.org/pdf/2601.01885,11,"/scholar?cites=17384600565950350690&as_sdt=5,33&sciodt=0,33&hl=en"
"Diagnose, Localize, Align: A Full-Stack Framework for Reliable LLM Multi-Agent Systems under Instruction Conflicts",G Wan; L Sun; L Dou; Z Shi; F Wu; EH Jiang,2025,arXiv preprint arXiv …,"We believe this work provides a principled pathway for aligning LLM multi-agent systems  at scale, and opens avenues for extending focalized alignment to agents and long-horizon,",https://arxiv.org/abs/2509.23188,https://arxiv.org/pdf/2509.23188,2,"/scholar?cites=9002721845615924762&as_sdt=5,33&sciodt=0,33&hl=en"
Hiplan: Hierarchical planning for llm-based agents with adaptive global-local guidance,Z Li; Y Chang; G Yu; X Le,2025,arXiv preprint arXiv:2508.19076,Large language model (LLM)-based agents have demonstrated remarkable capabilities  in  adaptive global-local guidance to boost LLM-based agents’ decision-making. HIPLAN,https://arxiv.org/abs/2508.19076,https://arxiv.org/pdf/2508.19076?,8,"/scholar?cites=11011445092472365073&as_sdt=5,33&sciodt=0,33&hl=en"
Progent: Programmable privilege control for llm agents,T Shi; J He; Z Wang; H Li; L Wu; W Guo,2025,arXiv preprint arXiv …,"poisoning, and malicious tools, tricking agents into performing dangerous actions such as   to secure LLM agents. Progent enforces security at the tool level by restricting agents to",https://arxiv.org/abs/2504.11703,https://arxiv.org/pdf/2504.11703,50,"/scholar?cites=12482402578480328066&as_sdt=5,33&sciodt=0,33&hl=en"
Automated carbon-aware assessment of openBIM-based ductwork design using knowledge graph–augmented LLM multi-agent framework,Y Xu; A Li; X Guo; JCF Chan; X Gong; HHL Kwok,2026,Automation in …,"The proper representation of LLM operation inputs and LLM agent integration with the  particular  Lastly, a KG-augmented LLM multiagent framework is developed to automatically",https://www.sciencedirect.com/science/article/pii/S092658052500651X,,2,"/scholar?cites=4171987971951959849&as_sdt=5,33&sciodt=0,33&hl=en"
