title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Generative retrieval-augmented ontologic graph and multiagent strategies for interpretive large language model-based materials design,MJ Buehler,2024,ACS Engineering Au,"We now show how a set of LLM agents, organized into a virtual team of AIs (Figure 1d),  can effectively solve complex problems via collaborative interactions. The individual",https://pubs.acs.org/doi/abs/10.1021/acsengineeringau.3c00058,https://pubs.acs.org/doi/full/10.1021/acsengineeringau.3c00058,88,"/scholar?cites=16553213486227670146&as_sdt=5,33&sciodt=0,33&hl=en"
Memory robot design: A new perspective from human brain model and large Language model,JH Lo; HP Huang; YC Chen; JH Chen,2025,IEEE Access,"with short-term memory, long-term memory, and working memory is designed from the   implemented by using LLM. Two memory tests, a recalling test, and a working memory test,",https://ieeexplore.ieee.org/abstract/document/10872903/,https://ieeexplore.ieee.org/iel8/6287639/10820123/10872903.pdf,5,"/scholar?cites=765005518513182247&as_sdt=5,33&sciodt=0,33&hl=en"
Sustainable digitalization of business with multi-agent rag and llm,M Arslan; S Munawar; C Cruz,2024,Procedia Computer Science,"features, including a Multi-Agent RAG architecture with LLM support. This platform facilitates   -3.5' LLM. In the next section, we introduce our novel Multi-Agent RAG solution with LLM for",https://www.sciencedirect.com/science/article/pii/S1877050924023627,https://www.sciencedirect.com/science/article/pii/S1877050924023627/pdf?md5=b1f754b9cfb4842d0f2789fa2eb66d18&pid=1-s2.0-S1877050924023627-main.pdf,13,"/scholar?cites=16966315537929128694&as_sdt=5,33&sciodt=0,33&hl=en"
Paperqa: Retrieval-augmented generative agent for scientific research,J Lála; O O'Donoghue; A Shtedritski; S Cox,2023,arXiv preprint arXiv …,"In this work, we eliminate these limitations by breaking RAG into modular pieces, allowing  an agent LLM to dynamically adjust and iteratively perform steps in response to the specific",https://arxiv.org/abs/2312.07559,https://arxiv.org/pdf/2312.07559,227,"/scholar?cites=15569385356224447096&as_sdt=5,33&sciodt=0,33&hl=en"
… multi-agent paradigm for smart urban mobility: Opportunities and challenges for integrating large language models (llms) and retrieval-augmented generation (rag) …,H Xu; J Yuan; A Zhou; G Xu; W Li; X Ban,2024,arXiv preprint arXiv …,"LLM and RAG, our approach seeks to overcome the limitations of traditional rule-based  multi-agent  multi-agent paradigm, driving advancements in ITS and urban mobility. Keywords: ,",https://arxiv.org/abs/2409.00494,https://arxiv.org/pdf/2409.00494,52,"/scholar?cites=11406094086278772958&as_sdt=5,33&sciodt=0,33&hl=en"
Cognitive personalized search integrating large language models with an efficient memory mechanism,Y Zhou; Q Zhu; J Jin; Z Dou,2024,Proceedings of the ACM Web Conference …,"To tackle this issue, we propose an LLM-based personalized model with external memory   Through local model deployment and efficient memory and retrieval mechanisms, we move",https://dl.acm.org/doi/abs/10.1145/3589334.3645482,https://dl.acm.org/doi/pdf/10.1145/3589334.3645482,44,"/scholar?cites=10304639781657633106&as_sdt=5,33&sciodt=0,33&hl=en"
Demystifying and Enhancing the Efficiency of Large Language Model Based Search Agents,T Yang; Z Yao; B Jin; L Cui; Y Li; G Wang,2025,arXiv preprint arXiv …,"search agent systems are highly sensitive to retrieval latency Intuitively, lower retrieval  accuracy means lower retrieval  is more"" phenomenon for LLM-based search agents. Low-recall",https://arxiv.org/abs/2505.12065,https://arxiv.org/pdf/2505.12065,3,"/scholar?cites=16041557006165855817&as_sdt=5,33&sciodt=0,33&hl=en"
Memtool: Optimizing short-term memory management for dynamic tool calling in llm agent multi-turn conversations,E Lumer; A Gulati; VK Subbiah; PH Basavaraju,2025,arXiv preprint arXiv …,Large Language Model (LLM) agents have shown significant  -term memory framework  enabling LLM agents to dynamically  scenarios among LLM agents with dynamic tool retrieval.,https://arxiv.org/abs/2507.21428,https://arxiv.org/pdf/2507.21428,14,"/scholar?cites=11106968513563088037&as_sdt=5,33&sciodt=0,33&hl=en"
Memotime: Memory-augmented temporal knowledge graph enhanced large language model reasoning,X Tan; X Wang; Q Liu; X Xu; X Yuan; L Zhu,2025,arXiv preprint arXiv …,"In addition to the decomposition, recent studies explore long-term memory systems for LLM  agents [24, 28, 31, 49, 54]. Approaches such as [31, 54] enable retrieval of prior interaction",https://arxiv.org/abs/2510.13614,https://arxiv.org/pdf/2510.13614,10,"/scholar?cites=1659328274249751789&as_sdt=5,33&sciodt=0,33&hl=en"
A large language model-based agent for wayfinding: simulation of spatial perception and memory,P Dang; J Zhu; W Li; J Lai,2025,Cartography and Geographic …,we have designed long-term memory and working memory for the LLM. Long-term memory  stores rich  Working memory is the space where the LLM temporarily stores and manipulates,https://www.tandfonline.com/doi/abs/10.1080/15230406.2024.2405596,,5,"/scholar?cites=12677243551476796199&as_sdt=5,33&sciodt=0,33&hl=en"
Mem-gallery: Benchmarking multimodal long-term conversational memory for mllm agents,Y Bei; T Wei; X Ning; Y Zhao; Z Liu; X Lin; Y Zhu,2026,arXiv preprint arXiv …,"Long-term memory is a critical capability for multimodal large language model (MLLM)  agents, particularly in conversational settings where information accumulates and evolves over",https://arxiv.org/abs/2601.03515,https://arxiv.org/pdf/2601.03515,6,"/scholar?cites=6389412886983395604&as_sdt=5,33&sciodt=0,33&hl=en"
Knowledge-aware iterative retrieval for multi-agent systems,S Song,2025,arXiv preprint arXiv:2503.13275,"We introduce a novel large language model (LLM)-driven agent framework, which  iteratively refines queries and filters contextual evidence by leveraging dynamically evolving",https://arxiv.org/abs/2503.13275,https://arxiv.org/pdf/2503.13275,5,"/scholar?cites=18013502164620430085&as_sdt=5,33&sciodt=0,33&hl=en"
The Irrational LLM: Implementing Cognitive Agents with Weighted Retrieval-Augmented Generation,D Sun; Y Lyu; J Li; X Liu; D Kara,2025,2025 34th …,"Combining RAG with cognitive model-inspired computation of information retrieval weights,  we develop the Irrational LLM – one that weighs information retrieval in RAG systems",https://ieeexplore.ieee.org/abstract/document/11134012/,,0,
Chain-of-Memory: Lightweight Memory Construction with Dynamic Evolution for LLM Agents,X Xu; B Xu; X Tian; Z Huang; R Chen; Y Li,2026,arXiv preprint arXiv …,"For effectiveness, we report Accuracy (ACC), utilizing LLM-as-LLMJudge  memory construction,  retrieval, and LLM generation. We include these metrics because many existing memory",https://arxiv.org/abs/2601.14287,https://arxiv.org/pdf/2601.14287,0,
Comorag: A cognitive-inspired memory-organized rag for stateful long narrative reasoning,J Wang; R Zhao; W Wei; Y Wang; M Yu,2026,Proceedings of the …,"Also, switching to a stronger model as the backbone LLM agents can upgrade reasoning in   The overall process and detailed prompts used by LLM agents are depicted in our extended",https://ojs.aaai.org/index.php/AAAI/article/view/40644,https://ojs.aaai.org/index.php/AAAI/article/download/40644/44605,8,"/scholar?cites=16372210943288070626&as_sdt=5,33&sciodt=0,33&hl=en"
Arag: Agentic retrieval augmented generation for personalized recommendation,RY Maragheh; P Vadla; P Gupta; K Zhao; A Inan,2025,arXiv preprint arXiv …,", we propose a multi-agent framework, ARAG, which introduces a set of specialized large  language model (LLM) agents to refine context retrieval and item ranking. As shown in Figure 1",https://arxiv.org/abs/2506.21931,https://arxiv.org/pdf/2506.21931,16,"/scholar?cites=3424247404184738814&as_sdt=5,33&sciodt=0,33&hl=en"
Memgen: Weaving generative latent memory for self-evolving agents,G Zhang; M Fu; S Yan,2025,arXiv preprint arXiv:2509.24704,", a dynamic and generative memory framework designed to endow any LLM agent with a more   control network and memory retrieval in the hippocampus and prefrontal cortices operate",https://arxiv.org/abs/2509.24704,https://arxiv.org/pdf/2509.24704,26,"/scholar?cites=2966071245180124813&as_sdt=5,33&sciodt=0,33&hl=en"
SPARK: Search Personalization via Agent-Driven Retrieval and Knowledge-sharing,G Chhetri; S Das; TI Chowdhury,2025,arXiv preprint arXiv:2512.24008,"-Driven Retrieval and Knowledge-sharing), a framework in which coordinated persona-based  large language model (LLM) agents deliver taskspecific retrieval and emergent",https://arxiv.org/abs/2512.24008,https://arxiv.org/pdf/2512.24008,0,
Open-ended instructable embodied agents with memory-augmented large language models,G Sarch; Y Wu; M Tarr,2023,Findings of the Association …,agent equipped with as external memory of languageprogram pairs that parses free-form  humanrobot dialogue into action programs through retrieval-augmented LLM  for LLM querying.,https://aclanthology.org/2023.findings-emnlp.226/,https://aclanthology.org/2023.findings-emnlp.226.pdf,62,"/scholar?cites=2228605420963964771&as_sdt=5,33&sciodt=0,33&hl=en"
Cognitive memory in large language models,L Shan; S Luo; Z Zhu; Y Yuan; Y Wu,2025,arXiv preprint arXiv:2504.02441,", namely, through the Retrieval-Augmented Generation (RAG) technique, memory systems  can  on LLM memory. Finally, we introduce the future trend of LLM memory: cognitive memory.",https://arxiv.org/abs/2504.02441,https://arxiv.org/pdf/2504.02441,34,"/scholar?cites=14943407351185870791&as_sdt=5,33&sciodt=0,33&hl=en"
MemoryBench: A Benchmark for Memory and Continual Learning in LLM Systems,Q Ai; Y Tang; C Wang; J Long; W Su; Y Liu,2025,arXiv preprint arXiv …,) LLM memory systems and naive baselines such as retrieval augmented generation (RAG).  Experimental results show that existing memory systems for LLM are not good at utilizing,https://arxiv.org/abs/2510.17281,https://arxiv.org/pdf/2510.17281,3,"/scholar?cites=13274516621948263216&as_sdt=5,33&sciodt=0,33&hl=en"
CarMem: Enhancing long-term memory in LLM voice assistants through category-bounding,J Kirmayr; L Stappen; P Schneider,2025,Proceedings of the …,"Due to scalability issues with memory-augmented LLMs, we focus on external memory  systems that retrieve relevant information as needed. Several works have explored external",https://aclanthology.org/2025.coling-industry.29/,https://aclanthology.org/2025.coling-industry.29.pdf,7,"/scholar?cites=2431587782848031420&as_sdt=5,33&sciodt=0,33&hl=en"
G-memory: Tracing hierarchical memory for multi-agent systems,G Zhang; M Fu; G Wan; M Yu; K Wang,2025,arXiv preprint arXiv …,"LLM agents, and this work primarily focuses on the former. Early research on agent memory  was confined to simple inside-trial memory,  4.1 Coarse-grained Memory Retrieval As a plug-",https://arxiv.org/abs/2506.07398,https://arxiv.org/pdf/2506.07398?,57,"/scholar?cites=15044507520472717635&as_sdt=5,33&sciodt=0,33&hl=en"
Flooding spread of manipulated knowledge in llm-based multi-agent communities,T Ju; Y Wang; X Ma; P Cheng; H Zhao; Y Wang,2024,arXiv preprint arXiv …,"Finally, we introduce the concept of persistent spread through RAG, where certain benign  agents store chat histories for future reference, facilitating the long-term spread of manipulated",https://arxiv.org/abs/2407.07791,https://arxiv.org/pdf/2407.07791?,79,"/scholar?cites=3754562162800219526&as_sdt=5,33&sciodt=0,33&hl=en"
Distilling llm agent into small models with retrieval and code tools,M Kang; J Jeong; S Lee; J Cho; SJ Hwang,2025,arXiv preprint arXiv …,"In this work, we propose Agent Distillation, a framework for transferring not only  agents  make more retrieval calls, FTP reduces them We analyze how frequently agents use the retrieval",https://arxiv.org/abs/2505.17612,https://arxiv.org/pdf/2505.17612,12,"/scholar?cites=16180204024626728177&as_sdt=5,33&sciodt=0,33&hl=en"
